,Date,Value (USD)
802,2007-01-29,3179.0504
803,2007-01-30,3187.5725
804,2007-01-31,3198.4579
805,2007-02-01,3190.5593
806,2007-02-02,3181.0393
807,2007-02-05,3187.2106
808,2007-02-06,3186.8236
809,2007-02-07,3179.7407
810,2007-02-08,3184.5035
811,2007-02-09,3221.5129
812,2007-02-12,3208.1643
813,2007-02-13,3227.6517
814,2007-02-14,3243.7393
815,2007-02-15,3245.0101
816,2007-02-16,3250.5158
817,2007-02-19,3252.5476
818,2007-02-20,3251.7447
819,2007-02-21,3262.8721
820,2007-02-22,3260.3111
821,2007-02-23,3268.1776
822,2007-02-26,3275.2246
823,2007-02-27,3262.2113
824,2007-02-28,3264.2359
825,2007-03-01,3251.9754
826,2007-03-02,3243.5234
827,2007-03-05,3209.8244
828,2007-03-06,3262.7758
829,2007-03-07,3254.1539
830,2007-03-08,3273.2746
831,2007-03-09,3284.3288
832,2007-03-12,3294.8359
833,2007-03-13,3283.4505
834,2007-03-14,3301.3554
835,2007-03-15,3305.8755
836,2007-03-16,3314.3578
837,2007-03-19,3320.5705
838,2007-03-20,3343.6112
839,2007-03-21,3355.9992
840,2007-03-22,3350.9577
841,2007-03-23,3347.1926
842,2007-03-26,3356.5262
843,2007-03-27,3358.9352
844,2007-03-28,3347.4654
845,2007-03-29,3351.2302
846,2007-03-30,3354.7734
847,2007-04-02,3373.9913
848,2007-04-03,3362.0247
849,2007-04-04,3370.6626
850,2007-04-05,3380.0197
851,2007-04-06,3379.0513
852,2007-04-09,3367.5963
853,2007-04-10,3390.4791
854,2007-04-11,3394.9606
855,2007-04-12,3408.8487
856,2007-04-13,3412.9416
857,2007-04-16,3416.7183
858,2007-04-17,3432.3613
859,2007-04-18,3440.7460
860,2007-04-19,3435.2156
861,2007-04-20,3439.4246
862,2007-04-23,3434.4294
863,2007-04-24,3434.7984
864,2007-04-25,3441.9250
865,2007-04-26,3425.3574
866,2007-04-27,3439.3512
867,2007-04-30,3439.9299
868,2007-05-01,3431.2055
869,2007-05-02,3426.8009
870,2007-05-03,3423.5165
871,2007-05-04,3421.3529
872,2007-05-07,3434.2212
873,2007-05-08,3429.3847
874,2007-05-09,3428.4514
875,2007-05-10,3415.9313
876,2007-05-11,3426.9252
877,2007-05-14,3430.0637
878,2007-05-15,3440.3118
879,2007-05-16,3422.6560
880,2007-05-17,3417.6489
881,2007-05-18,3421.9622
882,2007-05-21,3416.8156
883,2007-05-22,3415.2871
884,2007-05-23,3424.9558
885,2007-05-24,3417.9461
886,2007-05-25,3421.8289
887,2007-05-28,3420.0071
888,2007-05-29,3420.8368
889,2007-05-30,3424.2419
890,2007-05-31,3434.2138
891,2007-06-01,3433.6578
892,2007-06-04,3452.5077
893,2007-06-05,3460.4648
894,2007-06-06,3463.2144
895,2007-06-07,3450.0623
896,2007-06-08,3440.9601
897,2007-06-11,3437.3548
898,2007-06-12,3435.7420
899,2007-06-13,3432.5593
900,2007-06-14,3426.8078
901,2007-06-15,3438.7394
902,2007-06-18,3441.1164
903,2007-06-19,3446.4177
904,2007-06-20,3449.9505
905,2007-06-21,3446.8908
906,2007-06-22,3479.0652
907,2007-06-25,3479.1592
908,2007-06-26,3477.3176
909,2007-06-27,3474.3619
910,2007-06-28,3478.0596
911,2007-06-29,3497.9530
912,2007-07-02,3526.1770
913,2007-07-03,3515.7766
914,2007-07-04,3516.6762
915,2007-07-05,3514.4682
916,2007-07-06,3513.5856
917,2007-07-09,3522.0011
918,2007-07-10,3545.5776
919,2007-07-11,3546.3474
920,2007-07-12,3555.4206
921,2007-07-13,3557.9471
922,2007-07-16,3560.4930
923,2007-07-17,3565.3317
924,2007-07-18,3569.3967
925,2007-07-19,3567.4379
926,2007-07-20,3571.6037
927,2007-07-23,3567.4617
928,2007-07-24,3577.1358
